"CÓDIGO DE LA SERIE",DCBTROANRAT.T,DCBTROANRAT_D091CR.T,DCBTROANRAT_D092SR.T,DCBTROANRAT_D093.T,DCBTROANRAT_D0931.T,DCBTROANRAT_D0932.T,DCBTROANRAT_D0933.T,DCBTROANRAT_D0934.T,DCBTROANRAT_D094.T,DCBTROANRAT_TS250.T,DCBTROANRAT_T50A250.T
"NÚMERO SECUENCIAL",1627250,2412309,2412310,1800941,1800942,1800943,1800944,1800945,1800946,1627290,1627291
"ALIAS DE LA SERIE","BE_15_8.1","BE_15_8.2","BE_15_8.3","BE_15_8.4","BE_15_8.5","BE_15_8.6","BE_15_8.7","BE_15_8.8","BE_15_8.9","BE_15_8.10","BE_15_8.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.1 Rentabilidad ordinaria del activo neto. Total","CBT. R.1 Rentabilidad ordinaria del activo neto. Energía con refino CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Industria sin refino CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Servicios. CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Comercio y hostelería. CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Transporte. CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Información y comunicaciones. CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Otros servicios. CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Actividades con cobertura reducida. CNAE-09","CBT. R.1 Rentabilidad ordinaria del activo neto. Grandes","CBT. R.1 Rentabilidad ordinaria del activo neto. Medianas"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",7.50,"_","_",7.50,12.20,2.20,9.30,9.50,2.50,7.60,6.90
"JUN 1994",7.30,"_","_",8.40,5.40,5.70,11.10,10.90,4.30,7.30,8.10
"SEP 1994",7.90,"_","_",9.60,9.60,8.80,10.60,3.40,5.00,7.90,7.10
"DIC 1994",7.40,"_","_",7.70,7.70,3.50,10.30,9.90,5.10,7.40,5.10
"MAR 1995",8.70,"_","_",7.00,13.70,2.80,10.00,6.90,5.80,8.60,10.00
