"CÓDIGO DE LA SERIE",DCBTROANRCT.T,DCBTROANRCT_D091CR.T,DCBTROANRCT_D092SR.T,DCBTROANRCT_D093.T,DCBTROANRCT_D0931.T,DCBTROANRCT_D0932.T,DCBTROANRCT_D0933.T,DCBTROANRCT_D0934.T,DCBTROANRCT_D094.T,DCBTROANRCT_TS250.T,DCBTROANRCT_T50A250.T
"NÚMERO SECUENCIAL",745620,2412311,2412312,1800949,1800950,1800951,1800952,1800953,1800954,745625,745626
"ALIAS DE LA SERIE","BE_15_9.1","BE_15_9.2","BE_15_9.3","BE_15_9.4","BE_15_9.5","BE_15_9.6","BE_15_9.7","BE_15_9.8","BE_15_9.9","BE_15_9.10","BE_15_9.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.1 Rentabilidad ordinaria del activo neto. Total. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Energía con refino CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Industria sin refino CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Servicios. CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Comercio y hostelería. CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Transporte. CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Información y comunicaciones. CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Otros servicios. CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Actividades con cobertura reducida. CNAE-09. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Grandes. Datos acumulados","CBT. R.1 Rentabilidad ordinaria del activo neto. Medianas. Datos acumulados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",7.50,"_","_",7.50,12.20,2.20,9.30,9.50,2.50,7.60,6.90
"JUN 1994",7.50,"_","_",8.00,8.80,3.90,10.20,10.20,3.40,7.50,7.50
"SEP 1994",7.60,"_","_",8.50,9.10,5.60,10.40,8.00,3.90,7.60,7.40
"DIC 1994",7.60,"_","_",8.40,8.70,5.10,10.40,8.40,4.10,7.60,6.80
"MAR 1995",8.70,"_","_",7.00,13.70,2.80,10.00,6.90,5.80,8.60,10.00
"JUN 1995",8.40,"_","_",7.40,10.10,4.00,11.10,7.80,5.70,8.30,9.50
"SEP 1995",8.50,"_","_",8.00,10.40,5.00,11.30,7.70,6.50,8.40,9.40
"DIC 1995",8.30,"_","_",8.10,10.80,4.70,11.50,9.00,8.00,8.30,9.20
"MAR 1996",8.20,"_","_",6.70,11.70,3.00,10.80,4.50,7.00,8.20,9.70
"JUN 1996",8.10,"_","_",7.30,8.90,3.70,11.60,7.30,7.40,8.10,9.60
"SEP 1996",8.50,"_","_",8.10,9.10,4.70,12.10,8.50,7.40,8.50,9.50
"DIC 1996",8.30,"_","_",8.10,9.40,4.50,12.20,8.90,8.80,8.30,9.60
"MAR 1997",7.40,7.90,8.20,6.70,10.70,2.70,10.60,5.20,6.60,7.30,7.90
