"CÓDIGO DE LA SERIE",DCBIRIFRRAB.A,DCBIRIFRRAE.A,DCBIRIFRRAB_D091CR.A,DCBIRIFRRAE_D091CR.A,DCBIRIFRRAB_D092SR.A,DCBIRIFRRAE_D092SR.A,DCBIRIFRRAB_D0931.A,DCBIRIFRRAE_D0931.A,DCBIRIFRRAB_D0933.A,DCBIRIFRRAE_D0933.A,DCBIRIFRRAB_TS250.A,DCBIRIFRRAE_TS250.A,DCBIRIFRRAB_T50A250.A,DCBIRIFRRAE_T50A250.A,DCBIRIFRRAB_TI50.A,DCBIRIFRRAE_TI50.A
"NÚMERO SECUENCIAL",2416522,2416523,2416524,2416525,2416526,2416527,2416528,2416529,2416530,2416531,2416532,2416533,2416534,2416535,2416536,2416537
"ALIAS DE LA SERIE","BE_15_10.1","BE_15_10.2","BE_15_10.3","BE_15_10.4","BE_15_10.5","BE_15_10.6","BE_15_10.7","BE_15_10.8","BE_15_10.9","BE_15_10.10","BE_15_10.11","BE_15_10.12","BE_15_10.13","BE_15_10.14","BE_15_10.15","BE_15_10.16"
"DESCRIPCIÓN DE LA SERIE","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Total. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Total. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Energía con refino CNAE-09. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Energía con refino CNAE-09. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Industria sin refino CNAE-09. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Industria sin refino CNAE-09. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Comercio y hostelería CNAE-09. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Comercio y hostelería CNAE-09. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Información y comunicaciones CNAE-09. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Información y comunicaciones CNAE-09. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas grandes. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas grandes. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas medianas. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas medianas. Año actual","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas pequeñas. Año anterior","CBI. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",9.30,7.40,8.10,5.80,9.80,8.20,11.70,9.30,9.40,7.90,8.30,6.60,10.00,7.80,16.70,13.70
"1998",7.50,6.00,5.80,4.80,8.40,6.90,9.30,7.80,7.90,6.80,6.60,5.30,7.70,6.10,13.80,11.70
"1999",6.10,4.60,4.80,3.70,7.10,5.40,8.50,7.00,6.40,4.90,5.20,4.00,6.30,4.90,11.40,9.50
"2000",4.60,4.90,3.70,4.00,5.50,6.10,6.60,7.00,5.20,4.40,4.10,4.30,4.80,5.20,9.00,9.50
"2001",4.90,5.20,4.10,4.40,6.20,6.40,6.90,7.40,4.10,4.80,4.30,4.60,5.50,5.90,9.30,10.10
