"CÓDIGO DE LA SERIE",DCBTRIFRRCT.T,DCBTRIFRRCT_D091CR.T,DCBTRIFRRCT_D092SR.T,DCBTRIFRRCT_D093.T,DCBTRIFRRCT_D0931.T,DCBTRIFRRCT_D0932.T,DCBTRIFRRCT_D0933.T,DCBTRIFRRCT_D0934.T,DCBTRIFRRCT_D094.T,DCBTRIFRRCT_TS250.T,DCBTRIFRRCT_T50A250.T
"NÚMERO SECUENCIAL",745613,2412315,2412316,1800915,1800916,1800917,1800918,1800919,1800920,745618,745619
"ALIAS DE LA SERIE","BE_15_12.1","BE_15_12.2","BE_15_12.3","BE_15_12.4","BE_15_12.5","BE_15_12.6","BE_15_12.7","BE_15_12.8","BE_15_12.9","BE_15_12.10","BE_15_12.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Total. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Energía con refino CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Industria sin refino CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Servicios CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Comercio y hostelería CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Transporte CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Información y comunicaciones CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Otros servicios CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Actividades con cobertura reducida. CNAE-09. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas grandes. Datos acumulados","CBT. R.2 Intereses por financiación recibida sobre recursos ajenos con coste. Empresas medianas. Datos acumulados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",9.40,"_","_",10.10,12.80,8.30,10.70,9.60,10.60,9.40,9.30
"JUN 1994",9.20,"_","_",9.80,9.70,8.40,10.70,9.50,10.70,9.20,9.60
"SEP 1994",9.20,"_","_",9.80,9.00,8.30,10.80,9.10,10.90,9.20,9.60
"DIC 1994",9.20,"_","_",9.70,9.10,8.20,10.60,9.20,10.60,9.10,9.90
"MAR 1995",8.80,"_","_",9.20,9.40,8.50,10.20,7.60,8.70,8.80,9.00
"JUN 1995",9.00,"_","_",9.30,8.50,8.70,10.60,7.90,10.40,8.90,9.70
"SEP 1995",9.10,"_","_",9.40,8.60,8.80,10.70,7.90,10.30,9.10,9.90
"DIC 1995",9.10,"_","_",9.40,9.00,8.90,10.60,7.70,10.90,9.10,10.60
"MAR 1996",8.70,"_","_",8.80,8.80,8.40,9.80,7.30,11.60,8.70,9.40
"JUN 1996",8.70,"_","_",8.70,8.00,8.30,9.60,8.20,10.80,8.60,9.40
