"CÓDIGO DE LA SERIE",DCBIRORPRAB.A,DCBIRORPRAE.A,DCBIRORPRAB_D091CR.A,DCBIRORPRAE_D091CR.A,DCBIRORPRAB_D092SR.A,DCBIRORPRAE_D092SR.A,DCBIRORPRAB_D0931.A,DCBIRORPRAE_D0931.A,DCBIRORPRAB_D0933.A,DCBIRORPRAE_D0933.A,DCBIRORPRAB_TS250.A,DCBIRORPRAE_TS250.A,DCBIRORPRAB_T50A250.A,DCBIRORPRAE_T50A250.A,DCBIRORPRAB_TI50.A,DCBIRORPRAE_TI50.A
"NÚMERO SECUENCIAL",2416538,2416539,2416540,2416541,2416542,2416543,2416544,2416545,2416546,2416547,2416548,2416549,2416550,2416551,2416552,2416553
"ALIAS DE LA SERIE","BE_15_13.1","BE_15_13.2","BE_15_13.3","BE_15_13.4","BE_15_13.5","BE_15_13.6","BE_15_13.7","BE_15_13.8","BE_15_13.9","BE_15_13.10","BE_15_13.11","BE_15_13.12","BE_15_13.13","BE_15_13.14","BE_15_13.15","BE_15_13.16"
"DESCRIPCIÓN DE LA SERIE","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Total. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Total. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Energía con refino CNAE-09. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Energía con refino CNAE-09. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Industria sin refino CNAE-09. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Industria sin refino CNAE-09. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Comercio y hostelería CNAE-09. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Comercio y hostelería CNAE-09. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Información y comunicaciones CNAE-09. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Información y comunicaciones CNAE-09. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Empresas grandes. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Empresas grandes. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Empresas medianas. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Empresas medianas. Año actual","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Empresas pequeñas. Año anterior","CBI. R.3 Rentabilidad ordinaria de los recursos propios. Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",8.10,9.30,7.60,7.00,10.20,12.30,10.60,12.00,11.50,14.30,7.80,9.00,11.50,12.90,7.80,9.30
"1998",9.40,10.90,6.90,8.70,12.50,14.10,11.80,14.10,14.00,17.30,9.00,10.50,13.20,13.70,9.70,11.30
"1999",11.10,10.40,8.60,9.00,14.30,13.40,14.60,15.80,17.20,11.90,10.70,9.60,14.00,14.60,11.80,12.30
"2000",10.60,9.60,9.30,9.50,14.20,14.20,16.10,13.90,16.90,9.80,9.80,9.00,15.00,12.50,12.30,11.30
"2001",10.00,10.10,10.60,11.30,14.70,11.70,14.10,14.10,16.20,23.30,9.40,9.80,14.30,12.90,11.70,10.50
