"CÓDIGO DE LA SERIE",DCBTRORPRAT.T,DCBTRORPRAT_D091CR.T,DCBTRORPRAT_D092SR.T,DCBTRORPRAT_D093.T,DCBTRORPRAT_D0931.T,DCBTRORPRAT_D0932.T,DCBTRORPRAT_D0933.T,DCBTRORPRAT_D0934.T,DCBTRORPRAT_D094.T,DCBTRORPRAT_TS250.T,DCBTRORPRAT_T50A250.T
"NÚMERO SECUENCIAL",1627266,2412317,2412318,1800957,1800958,1800959,1800960,1800961,1800962,1627294,1627295
"ALIAS DE LA SERIE","BE_15_14.1","BE_15_14.2","BE_15_14.3","BE_15_14.4","BE_15_14.5","BE_15_14.6","BE_15_14.7","BE_15_14.8","BE_15_14.9","BE_15_14.10","BE_15_14.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Total","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Energía con refino CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Industria sin refino CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Servicios CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Comercio y hostelería CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Transporte CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Información y comunicaciones CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Otros servicios CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Actividades con cobertura reducida CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Empresas grandes","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Empresas medianas"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",6.40,"_","_",5.90,12.00,-1.50,8.10,9.50,-1.70,6.40,6.00
"JUN 1994",6.30,"_","_",7.70,5.10,4.10,11.50,11.30,0.90,6.30,7.40
"SEP 1994",7.00,"_","_",9.60,10.10,9.20,10.30,2.20,1.70,7.10,6.20
"DIC 1994",6.40,"_","_",6.80,7.30,1.10,10.50,9.90,3.00,6.50,3.20
"MAR 1995",8.60,"_","_",5.70,14.90,-1.00,9.80,6.60,4.60,8.50,10.30
