"CÓDIGO DE LA SERIE",DCBIRAPLRAB.A,DCBIRAPLRAE.A,DCBIRAPLRAB_D091CR.A,DCBIRAPLRAE_D091CR.A,DCBIRAPLRAB_D092SR.A,DCBIRAPLRAE_D092SR.A,DCBIRAPLRAB_D0931.A,DCBIRAPLRAE_D0931.A,DCBIRAPLRAB_D0933.A,DCBIRAPLRAE_D0933.A,DCBIRAPLRAB_TS250.A,DCBIRAPLRAE_TS250.A,DCBIRAPLRAB_T50A250.A,DCBIRAPLRAE_T50A250.A,DCBIRAPLRAB_TI50.A,DCBIRAPLRAE_TI50.A
"NÚMERO SECUENCIAL",2416554,2416555,2416556,2416557,2416558,2416559,2416560,2416561,2416562,2416563,2416564,2416565,2416566,2416567,2416568,2416569
"ALIAS DE LA SERIE","BE_15_16.1","BE_15_16.2","BE_15_16.3","BE_15_16.4","BE_15_16.5","BE_15_16.6","BE_15_16.7","BE_15_16.8","BE_15_16.9","BE_15_16.10","BE_15_16.11","BE_15_16.12","BE_15_16.13","BE_15_16.14","BE_15_16.15","BE_15_16.16"
"DESCRIPCIÓN DE LA SERIE","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Total. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Total. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Energía con refino CNAE-09. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Energía con refino CNAE-09. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Industria sin refino CNAE-09. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Industria sin refino CNAE-09. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Comercio y hostelería CNAE-09. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Comercio y hostelería CNAE-09. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Información y comunicaciones CNAE-09. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Información y comunicaciones CNAE-09. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas grandes. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas grandes. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas medianas. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas medianas. Año actual","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas pequeñas. Año anterior","CBI. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",-0.80,1.30,-0.30,0.80,0.20,2.90,-0.70,1.90,1.20,3.70,-0.30,1.60,0.90,3.30,-6.10,-3.10
"1998",1.30,3.20,0.80,2.50,3.00,5.20,1.70,4.30,3.50,6.20,1.60,3.40,3.50,4.80,-2.90,-0.30
"1999",3.30,3.50,2.50,3.20,5.20,5.80,4.30,6.10,6.20,3.20,3.50,3.30,4.90,6.00,0.30,1.90
"2000",3.60,2.80,3.30,3.00,6.10,5.50,6.40,4.60,5.60,2.60,3.40,2.70,6.20,4.40,2.20,1.20
"2001",3.00,2.80,3.60,3.70,5.80,3.50,4.60,4.40,4.30,6.40,2.80,2.80,5.30,4.30,1.60,0.30
