"CÓDIGO DE LA SERIE",DCBTRAPLRAT.T,DCBTRAPLRAT_D091CR.T,DCBTRAPLRAT_D092SR.T,DCBTRAPLRAT_D093.T,DCBTRAPLRAT_D0931.T,DCBTRAPLRAT_D0932.T,DCBTRAPLRAT_D0933.T,DCBTRAPLRAT_D0934.T,DCBTRAPLRAT_D094.T,DCBTRAPLRAT_TS250.T,DCBTRAPLRAT_T50A250.T
"NÚMERO SECUENCIAL",1627274,2412321,2412322,1800883,1800884,1800885,1800886,1800887,1800888,1627296,1627297
"ALIAS DE LA SERIE","BE_15_17.1","BE_15_17.2","BE_15_17.3","BE_15_17.4","BE_15_17.5","BE_15_17.6","BE_15_17.7","BE_15_17.8","BE_15_17.9","BE_15_17.10","BE_15_17.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Total","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Energía con refino CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Industria sin refino CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Servicios CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Comercio y hostelería CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Transporte CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Información y comunicaciones CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Otros servicios CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Actividades con cobertura reducida CNAE-09","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas grandes","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas medianas"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",-1.90,"_","_",-2.60,-0.70,-6.10,-1.40,-0.10,-8.10,-1.80,-2.40
"JUN 1994",-1.70,"_","_",-1.10,-1.20,-2.70,0.40,1.50,-6.60,-1.70,-1.80
"SEP 1994",-1.40,"_","_",-0.10,1.80,0.50,-0.30,-4.90,-6.40,-1.40,-2.40
"DIC 1994",-1.60,"_","_",-1.50,-1.70,-4.10,0.30,0.40,-4.40,-1.50,-5.70
"MAR 1995",-0.10,"_","_",-2.20,4.30,-5.70,-0.30,-0.70,-2.80,-0.10,1.00
"JUN 1995",-1.20,"_","_",-1.70,-1.00,-3.70,1.20,-0.60,-6.50,-1.20,-1.60
"SEP 1995",-0.80,"_","_",-0.70,2.20,-2.10,0.80,-1.60,-1.80,-0.80,-1.10
"DIC 1995",-1.40,"_","_",-1.40,1.60,-5.40,1.60,3.40,0.30,-1.40,-4.20
"MAR 1996",-0.50,"_","_",-2.10,2.90,-5.50,1.00,-2.90,-4.50,-0.50,0.30
"JUN 1996",-0.70,"_","_",-0.90,-0.90,-3.70,3.00,0.10,-2.40,-0.70,0.10
"SEP 1996",0.80,"_","_",0.80,1.10,-1.40,3.70,1.00,-4.70,0.80,0.60
"DIC 1996",-0.60,"_","_",-0.20,3.10,-4.20,3.30,1.80,2.00,-0.60,-0.70
"MAR 1997",-0.20,0.40,1.10,-1.10,2.30,-4.80,1.60,-0.10,-2.00,-0.30,1.60
"JUN 1997",0.80,-0.30,5.10,0.20,0.20,-2.90,4.80,0.70,1.20,0.80,2.90
"SEP 1997",1.80,0.70,5.30,1.60,3.80,-1.00,4.00,1.70,0.10,1.80,1.60
"DIC 1997",1.40,0.50,3.50,1.50,4.40,-3.20,4.70,4.80,0.20,1.40,0.60
"MAR 1998",2.00,2.20,6.30,0.40,4.20,-4.00,5.50,-1.90,0.10,1.90,4.80
"JUN 1998",2.40,0.60,8.10,1.80,1.80,-1.30,6.50,0.60,1.70,2.30,5.50
"SEP 1998",3.00,1.60,7.20,2.60,7.20,0.70,5.60,-3.30,1.80,3.00,2.50
"DIC 1998",2.40,3.00,5.00,1.20,5.80,-2.20,5.40,-1.80,4.00,2.40,1.90
"MAR 1999",2.70,4.00,5.50,1.10,6.90,-2.50,2.00,1.30,2.10,2.60,7.10
"JUN 1999",2.90,1.80,7.30,2.10,5.30,-0.50,4.20,1.00,2.80,2.70,7.20
"SEP 1999",3.10,3.10,6.40,2.10,8.40,0.80,3.70,-1.40,1.10,3.00,5.80
"DIC 1999",2.40,2.30,5.20,1.50,4.50,-0.80,2.60,0.70,8.60,2.30,2.80
"MAR 2000",2.10,2.70,6.70,0.40,6.50,-2.30,7.80,-2.20,3.80,2.00,4.20
"JUN 2000",2.80,1.80,9.60,1.30,2.90,-0.30,8.90,-0.80,7.10,2.70,3.80
"SEP 2000",2.50,0.70,9.40,1.70,4.30,0.70,8.30,-0.30,3.50,2.50,0.20
"DIC 2000",1.70,0.80,9.00,0.30,3.60,-1.90,6.30,-1.10,14.80,1.70,-2.30
"MAR 2001",1.00,2.10,4.80,-0.40,6.50,-3.00,10.00,-3.00,5.50,0.90,4.00
"JUN 2001",1.80,1.80,6.50,0.70,3.70,-0.10,9.90,-1.50,6.60,1.70,3.60
"SEP 2001",1.90,1.30,4.00,1.60,7.20,1.30,11.10,-1.10,7.60,1.90,2.40
