"CÓDIGO DE LA SERIE",DCBTRAPLRCT.T,DCBTRAPLRCT_D091CR.T,DCBTRAPLRCT_D092SR.T,DCBTRAPLRCT_D093.T,DCBTRAPLRCT_D0931.T,DCBTRAPLRCT_D0932.T,DCBTRAPLRCT_D0933.T,DCBTRAPLRCT_D0934.T,DCBTRAPLRCT_D094.T,DCBTRAPLRCT_TS250.T,DCBTRAPLRCT_T50A250.T
"NÚMERO SECUENCIAL",745634,2412323,2412324,1800891,1800892,1800893,1800894,1800895,1800896,745639,745640
"ALIAS DE LA SERIE","BE_15_18.1","BE_15_18.2","BE_15_18.3","BE_15_18.4","BE_15_18.5","BE_15_18.6","BE_15_18.7","BE_15_18.8","BE_15_18.9","BE_15_18.10","BE_15_18.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Total. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Energía con refino CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Industria sin refino CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Servicios CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Comercio y hostelería CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Transporte CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Información y comunicaciones CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Otros servicios CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Actividades con cobertura reducida CNAE-09. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas grandes. Datos acumulados","CBT. R.4 Diferencia rentabilidad - coste financiero (R.1 - R-2). Empresas medianas. Datos acumulados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",-1.90,"_","_",-2.60,-0.70,-6.10,-1.40,-0.10,-8.10,-1.80,-2.40
"JUN 1994",-1.80,"_","_",-1.90,-0.90,-4.40,-0.50,0.70,-7.40,-1.70,-2.10
"SEP 1994",-1.60,"_","_",-1.30,0.00,-2.80,-0.40,-1.10,-7.10,-1.60,-2.20
"DIC 1994",-1.60,"_","_",-1.30,-0.40,-3.10,-0.20,-0.80,-6.50,-1.60,-3.00
"MAR 1995",-0.10,"_","_",-2.20,4.30,-5.70,-0.30,-0.70,-2.80,-0.10,1.00
"JUN 1995",-0.60,"_","_",-1.90,1.70,-4.70,0.50,-0.10,-4.70,-0.60,-0.30
"SEP 1995",-0.60,"_","_",-1.40,1.90,-3.80,0.60,-0.20,-3.80,-0.60,-0.60
"DIC 1995",-0.80,"_","_",-1.30,1.80,-4.20,0.90,1.30,-2.80,-0.80,-1.40
"MAR 1996",-0.50,"_","_",-2.10,2.90,-5.50,1.00,-2.90,-4.50,-0.50,0.30
"JUN 1996",-0.50,"_","_",-1.40,1.00,-4.60,2.00,-0.90,-3.50,-0.60,0.20
"SEP 1996",0.00,"_","_",-0.50,1.00,-3.50,2.60,0.50,-3.90,0.00,0.30
"DIC 1996",-0.10,"_","_",-0.40,1.60,-3.70,2.80,1.20,-2.40,-0.10,0.10
"MAR 1997",-0.20,0.40,1.10,-1.10,2.30,-4.80,1.60,-0.10,-2.00,-0.30,1.60
"JUN 1997",0.40,0.20,3.20,-0.30,1.20,-3.90,3.20,0.90,-0.40,0.30,2.20
"SEP 1997",1.00,0.50,3.90,0.40,2.10,-2.90,3.50,1.90,-0.20,0.90,2.10
"DIC 1997",1.20,0.50,3.90,0.90,2.70,-3.00,3.90,3.60,-0.10,1.20,1.70
"MAR 1998",2.00,2.20,6.30,0.40,4.20,-4.00,5.50,-1.90,0.10,1.90,4.80
"JUN 1998",2.30,1.50,7.20,1.20,3.00,-2.60,6.00,0.00,0.90,2.20,5.10
"SEP 1998",2.60,1.70,7.30,1.70,4.40,-1.50,5.90,-1.10,1.20,2.60,4.30
"DIC 1998",2.90,2.20,6.80,2.20,4.80,-1.70,6.40,1.40,1.80,2.90,3.70
"MAR 1999",2.70,4.00,5.50,1.10,6.90,-2.50,2.00,1.30,2.10,2.60,7.10
"JUN 1999",3.00,3.00,6.60,1.80,6.10,-1.50,3.20,1.90,2.50,2.80,7.20
"SEP 1999",3.10,3.30,6.70,2.00,6.80,-0.70,3.50,0.60,2.00,3.00,6.70
"DIC 1999",3.20,3.20,6.40,2.20,6.30,-0.70,3.50,1.70,3.40,3.10,5.80
"MAR 2000",2.10,2.70,6.70,0.40,6.50,-2.30,7.80,-2.20,3.80,2.00,4.20
"JUN 2000",2.60,2.30,8.30,1.10,4.70,-1.30,8.30,-0.90,5.40,2.50,4.00
"SEP 2000",2.90,2.00,8.70,1.70,4.50,-0.60,8.30,0.10,4.70,2.80,2.70
"DIC 2000",3.00,2.30,9.20,1.70,4.30,-1.00,7.80,0.60,6.50,3.00,1.20
"MAR 2001",1.00,2.10,4.80,-0.40,6.50,-3.00,10.00,-3.00,5.50,0.90,4.00
"JUN 2001",1.70,2.20,5.90,0.40,5.10,-1.60,10.00,-1.70,6.10,1.60,3.80
"SEP 2001",1.90,2.20,5.40,0.90,5.90,-0.60,10.30,-1.30,6.60,1.90,3.30
"DIC 2001",3.10,3.80,5.50,2.10,6.60,-0.50,10.00,0.50,7.60,3.00,2.90
"MAR 2002",1.40,4.30,3.10,0.00,7.50,-1.60,11.20,-2.30,5.80,1.30,3.70
"JUN 2002",2.70,4.40,4.70,1.70,6.10,-0.40,13.70,-0.30,7.10,2.70,4.40
"SEP 2002",3.20,4.40,4.70,2.40,6.70,0.60,14.80,0.40,6.80,3.20,4.30
"DIC 2002",4.40,6.50,5.20,3.50,7.00,1.00,15.50,1.70,6.90,4.40,3.60
"MAR 2003",1.70,3.50,4.70,0.40,6.40,-1.70,17.00,-2.10,4.70,1.60,2.10
"JUN 2003",3.00,3.40,5.60,2.20,6.20,0.00,19.40,-0.10,6.20,2.90,3.40
"SEP 2003",3.40,3.70,5.70,2.70,7.00,0.90,20.10,0.30,6.60,3.30,3.90
"DIC 2003",4.20,4.60,5.90,3.60,6.90,1.20,20.90,1.40,8.40,4.20,3.70
"MAR 2004",2.40,4.60,3.80,1.20,7.10,-0.20,20.30,-1.90,6.00,2.20,4.60
"JUN 2004",3.30,3.90,6.00,2.50,5.10,0.80,21.60,-0.10,7.90,3.30,4.70
"SEP 2004",3.60,3.70,6.60,2.80,5.50,1.40,21.60,0.10,7.00,3.50,4.30
"DIC 2004",4.40,4.20,7.60,3.70,5.70,1.40,21.60,1.50,8.50,4.40,4.10
"MAR 2005",2.60,4.00,5.70,1.50,6.50,-0.10,20.90,-1.80,5.80,2.60,2.70
"JUN 2005",3.90,3.70,7.20,3.20,4.70,0.70,22.10,0.90,8.20,3.90,4.00
"SEP 2005",4.40,4.50,7.30,3.60,4.70,1.30,22.90,1.30,8.80,4.40,3.70
"DIC 2005",5.40,5.20,7.80,4.80,5.00,1.00,21.90,3.50,10.00,5.40,3.60
"MAR 2006",2.90,4.20,5.10,2.00,5.60,-0.40,28.20,-0.70,3.90,2.90,3.50
"JUN 2006",3.70,3.80,6.20,3.00,4.10,0.30,31.20,0.80,6.70,3.70,3.70
"SEP 2006",4.80,5.10,6.30,4.30,4.40,0.60,31.50,2.70,6.50,4.80,4.10
"DIC 2006",5.50,5.50,6.80,5.10,4.30,0.30,31.50,4.00,7.70,5.50,3.60
"MAR 2007",1.90,3.30,5.10,0.70,5.30,-0.80,31.10,-2.40,3.30,1.90,3.00
"JUN 2007",3.30,3.40,6.90,2.50,3.10,-0.30,33.30,0.30,4.20,3.30,3.50
"SEP 2007",3.30,3.30,6.30,2.80,3.00,0.40,34.20,0.60,3.20,3.30,3.50
"DIC 2007",4.40,4.10,5.90,4.30,2.90,0.20,34.10,2.90,3.90,4.40,3.20
"MAR 2008",0.30,2.20,2.50,-0.50,4.10,-1.50,17.60,-3.10,-1.10,0.30,-1.10
"JUN 2008",1.80,3.00,3.80,1.30,1.40,-1.20,19.30,-0.10,-0.80,1.80,-0.20
"SEP 2008",1.80,2.80,3.40,1.50,1.70,-0.90,20.10,0.00,-1.10,1.80,0.00
