"CÓDIGO DE LA SERIE",DCBIRMEXRAB.A,DCBIRMEXRAE.A,DCBIRMEXRAB_D091CR.A,DCBIRMEXRAE_D091CR.A,DCBIRMEXRAB_D092SR.A,DCBIRMEXRAE_D092SR.A,DCBIRMEXRAB_D0931.A,DCBIRMEXRAE_D0931.A,DCBIRMEXRAB_D0933.A,DCBIRMEXRAE_D0933.A,DCBIRMEXRAB_TS250.A,DCBIRMEXRAE_TS250.A,DCBIRMEXRAB_T50A250.A,DCBIRMEXRAE_T50A250.A,DCBIRMEXRAB_TI50.A,DCBIRMEXRAE_TI50.A
"NÚMERO SECUENCIAL",2416570,2416571,2416572,2416573,2416574,2416575,2416576,2416577,2416578,2416579,2416580,2416581,2416582,2416583,2416584,2416585
"ALIAS DE LA SERIE","BE_15_19.1","BE_15_19.2","BE_15_19.3","BE_15_19.4","BE_15_19.5","BE_15_19.6","BE_15_19.7","BE_15_19.8","BE_15_19.9","BE_15_19.10","BE_15_19.11","BE_15_19.12","BE_15_19.13","BE_15_19.14","BE_15_19.15","BE_15_19.16"
"DESCRIPCIÓN DE LA SERIE","CBI. R.5 Margen de explotación, (REB / INCN). Total. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Total. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Energía con refino CNAE-09. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Energía con refino CNAE-09. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Industria sin refino CNAE-09. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Industria sin refino CNAE-09. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Comercio y hostelería CNAE-09. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Comercio y hostelería CNAE-09. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Información y comunicaciones CNAE-09. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Información y comunicaciones CNAE-09. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Empresas grandes. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Empresas grandes. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Empresas medianas. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Empresas medianas. Año actual","CBI. R.5 Margen de explotación, (REB / INCN). Empresas pequeñas. Año anterior","CBI. R.5 Margen de explotación, (REB / INCN). Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",12.10,12.20,37.30,33.20,9.00,9.80,5.00,5.30,37.50,36.60,14.00,14.10,9.50,9.60,7.60,7.70
"1998",12.10,12.20,32.30,34.90,9.90,10.10,5.10,5.60,36.50,35.40,14.00,14.00,9.80,10.00,7.60,8.00
"1999",12.30,11.70,34.60,34.00,10.10,9.30,5.70,5.90,32.80,29.20,14.40,13.20,10.00,10.30,8.00,8.40
"2000",11.60,10.80,34.00,25.50,9.70,9.50,5.80,5.30,30.40,26.10,13.40,12.10,10.00,9.40,8.20,8.10
"2001",10.80,10.80,24.00,22.20,9.40,8.60,5.30,5.40,26.60,30.70,12.10,12.20,9.60,9.50,8.20,8.20
