"CÓDIGO DE LA SERIE",DCBIREVARAB.A,DCBIREVARAE.A,DCBIREVARAB_D091CR.A,DCBIREVARAE_D091CR.A,DCBIREVARAB_D092SR.A,DCBIREVARAE_D092SR.A,DCBIREVARAB_D0931.A,DCBIREVARAE_D0931.A,DCBIREVARAB_D0933.A,DCBIREVARAE_D0933.A,DCBIREVARAB_TS250.A,DCBIREVARAE_TS250.A,DCBIREVARAB_T50A250.A,DCBIREVARAE_T50A250.A,DCBIREVARAB_TI50.A,DCBIREVARAE_TI50.A
"NÚMERO SECUENCIAL",4583878,4583879,4583880,4583881,4583882,4583883,4583884,4583885,4583886,4583887,4583888,4583889,4583890,4583891,4583892,4583893
"ALIAS DE LA SERIE","BE_15_22.1","BE_15_22.2","BE_15_22.3","BE_15_22.4","BE_15_22.5","BE_15_22.6","BE_15_22.7","BE_15_22.8","BE_15_22.9","BE_15_22.10","BE_15_22.11","BE_15_22.12","BE_15_22.13","BE_15_22.14","BE_15_22.15","BE_15_22.16"
"DESCRIPCIÓN DE LA SERIE","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. Energía, con refino de petróleo","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. Energía, con refino de petróleo","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. Industria, sin refino de petróleo","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. Industria, sin refino de petróleo","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. Comercio y hostelería","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. Comercio y hostelería","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. Información y comunicaciones","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. Información y comunicaciones","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. Superior a 250 empleados","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. Superior a 250 empleados","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. De 50 a 250 empleados","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. De 50 a 250 empleados","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a principio de periodo. Inferior a 50 empleados","Central de Balances. CBI. R.6 Margen REB/VAB. Ratio a fin de periodo. Inferior a 50 empleados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",42.60,43.90,71.10,69.00,37.80,41.10,33.20,35.10,61.30,63.20,46.40,48.00,36.50,37.70,30.90,31.60
"1998",43.80,44.20,68.40,69.20,41.10,41.80,34.50,36.70,63.90,64.50,47.90,48.30,38.50,39.20,31.60,32.50
"1999",44.20,43.50,68.60,69.90,41.60,40.40,36.80,37.70,63.20,62.10,48.80,47.70,38.10,38.70,33.10,33.50
"2000",43.70,43.20,69.80,69.80,41.00,42.70,37.60,35.80,64.00,61.90,48.80,48.60,37.80,36.60,33.10,32.30
"2001",42.80,42.50,69.10,68.40,42.30,39.30,35.00,34.90,62.60,66.10,48.40,48.40,36.80,36.00,32.60,31.90
