"CÓDIGO DE LA SERIE",DCBTREVARAT.T,DCBTREVARAT_D091CR.T,DCBTREVARAT_D092SR.T,DCBTREVARAT_D093.T,DCBTREVARAT_D0931.T,DCBTREVARAT_D0932.T,DCBTREVARAT_D0933.T,DCBTREVARAT_D0934.T,DCBTREVARAT_D094.T,DCBTREVARAT_TS250.T,DCBTREVARAT_T50A250.T
"NÚMERO SECUENCIAL",4583894,4583895,4583896,4583897,4583898,4583899,4583900,4583901,4583902,4583903,4583904
"ALIAS DE LA SERIE","BE_15_23.1","BE_15_23.2","BE_15_23.3","BE_15_23.4","BE_15_23.5","BE_15_23.6","BE_15_23.7","BE_15_23.8","BE_15_23.9","BE_15_23.10","BE_15_23.11"
"DESCRIPCIÓN DE LA SERIE","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Energía, con refino de petróleo","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Industria, sin refino de petróleo","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Servicios","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Comercio y hostelería","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Transporte","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Información y comunicaciones","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Otros Servicios","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Actividades con cobertura reducida en la Central de Balances","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. Superior a 250 empleados","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio. De 50 a 250 empleados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 2018",46.10,71.50,40.50,41.80,37.80,47.40,59.50,5.00,10.10,46.30,27.50
"JUN 2018",50.60,71.20,50.70,46.60,40.10,55.90,62.00,12.20,18.20,50.70,40.70
"SEP 2018",50.90,72.60,48.10,46.70,39.40,58.10,63.90,-2.90,12.80,51.00,35.30
"DIC 2018",47.40,72.30,45.70,41.90,35.90,51.60,61.50,-13.40,15.30,47.70,25.50
"MAR 2019",47.50,77.20,43.60,40.80,38.00,44.00,58.90,2.50,12.90,47.70,22.90
"JUN 2019",48.80,75.70,41.50,45.30,37.40,55.00,60.70,8.80,5.40,49.00,34.00
"SEP 2019",50.80,78.00,38.70,47.40,40.40,56.90,61.80,11.70,3.10,51.00,35.10
"DIC 2019",48.00,76.10,41.70,43.80,42.50,46.50,62.70,-4.70,3.90,48.20,29.00
"MAR 2020",39.90,76.60,18.70,33.70,26.90,30.50,61.90,0.70,3.70,40.10,23.00
"JUN 2020",33.30,73.30,11.20,24.70,27.40,-7.40,57.10,-14.70,10.40,33.30,30.10
"SEP 2020",41.40,75.20,30.50,34.00,35.90,18.90,61.90,-11.70,11.40,41.50,29.10
"DIC 2020",39.90,77.30,31.30,30.10,32.10,14.60,56.90,-0.10,16.80,40.10,27.00
"MAR 2021",41.20,76.30,44.00,28.00,31.50,2.60,54.90,-4.10,8.90,41.40,24.70
"JUN 2021",42.80,74.10,45.30,33.20,34.90,25.50,55.60,-9.00,12.90,43.00,30.20
"SEP 2021",47.30,78.30,42.80,39.40,41.20,38.20,55.80,4.00,13.10,47.50,30.30
"DIC 2021",45.30,80.60,39.90,34.00,35.40,36.70,50.80,-11.50,16.80,45.50,29.90
"MAR 2022",45.00,73.50,51.70,35.70,42.60,17.50,53.60,0.10,17.80,45.20,29.30
"JUN 2022",53.20,77.50,66.40,40.50,40.60,40.90,56.30,7.10,19.40,53.50,30.40
"SEP 2022",54.40,88.10,37.50,42.90,43.40,45.60,57.20,5.20,19.60,54.70,30.30
"DIC 2022",51.90,86.40,43.40,40.40,33.20,46.70,56.50,18.20,17.40,52.10,33.10
"MAR 2023",50.70,85.40,48.20,36.80,36.30,33.60,54.20,9.40,13.10,50.90,27.20
"JUN 2023",49.00,81.50,41.70,41.50,36.00,49.50,55.60,12.40,20.80,49.20,33.90
"SEP 2023",54.60,83.20,54.20,46.60,44.00,52.70,58.00,19.70,13.70,54.80,27.80
"DIC 2023",45.00,78.80,37.40,38.50,34.60,46.40,52.40,7.70,20.50,45.10,30.80
"MAR 2024",49.00,81.10,50.50,37.50,36.40,38.10,54.70,4.60,14.10,49.20,25.00
"JUN 2024",51.10,81.00,46.20,43.90,40.50,51.10,56.30,14.10,20.10,51.20,37.40
"SEP 2024",50.40,81.30,30.70,45.80,42.50,53.70,56.50,18.60,14.20,50.50,34.70
"DIC 2024",47.90,80.10,43.00,41.10,38.30,47.20,54.60,13.10,31.50,48.10,28.40
"MAR 2025",46.40,81.40,37.00,38.90,40.50,40.00,55.10,-1.40,20.40,46.60,27.70
"JUN 2025",48.40,80.20,31.70,44.70,42.80,52.50,55.90,12.30,22.60,48.50,34.60
"SEP 2025",52.10,81.50,39.70,47.90,50.00,54.50,56.40,6.60,19.70,52.20,38.00
"DIC 2025",48.20,83.40,41.50,40.80,38.00,52.50,51.30,14.90,21.60,48.30,39.20
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
