"CÓDIGO DE LA SERIE",DCBTREVARCT.T,DCBTREVARCT_D091CR.T,DCBTREVARCT_D092SR.T,DCBTREVARCT_D093.T,DCBTREVARCT_D0931.T,DCBTREVARCT_D0932.T,DCBTREVARCT_D0933.T,DCBTREVARCT_D0934.T,DCBTREVARCT_D094.T,DCBTREVARCT_TS250.T,DCBTREVARCT_T50A250.T
"NÚMERO SECUENCIAL",4583905,4583906,4583907,4583908,4583909,4583910,4583911,4583912,4583913,4583914,4583915
"ALIAS DE LA SERIE","BE_15_24.1","BE_15_24.2","BE_15_24.3","BE_15_24.4","BE_15_24.5","BE_15_24.6","BE_15_24.7","BE_15_24.8","BE_15_24.9","BE_15_24.10","BE_15_24.11"
"DESCRIPCIÓN DE LA SERIE","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Energía, con refino de petróleo","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Industria, sin refino de petróleo","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Servicios","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Comercio y hostelería","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Transporte","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Información y comunicaciones","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Otros Servicios","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Actividades con cobertura reducida en la Central de Balances","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. Superior a 250 empleados","Central de Balances. CBT. R.6 Margen REB/VAB. Ratio con datos acumulados. De 50 a 250 empleados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 2009",51.60,79.50,28.00,48.50,39.00,29.20,74.10,25.30,29.20,52.10,17.20
"JUN 2009",50.70,79.20,28.40,47.10,33.40,30.60,74.30,16.30,31.40,51.20,19.80
"SEP 2009",52.00,80.10,29.60,48.20,35.60,32.70,74.80,16.10,30.90,52.40,24.40
"DIC 2009",51.80,80.20,26.10,48.00,35.70,32.60,74.80,13.10,34.20,52.20,24.60
"MAR 2010",54.20,82.10,36.50,48.90,44.60,32.50,73.50,16.40,28.20,54.60,20.20
"JUN 2010",53.70,80.80,42.50,48.50,39.60,36.40,73.50,15.20,27.90,54.10,28.50
"SEP 2010",54.10,81.10,42.60,48.90,38.60,38.60,73.90,14.50,28.70,54.40,30.60
"DIC 2010",53.40,80.80,42.10,48.30,38.60,38.10,73.80,5.90,24.40,53.80,29.90
"MAR 2011",52.70,77.90,43.20,46.80,42.60,33.40,68.00,20.20,24.30,53.10,22.00
"JUN 2011",51.60,76.50,41.50,46.30,36.60,37.50,68.80,12.90,28.00,51.90,25.40
"SEP 2011",52.30,76.80,40.60,47.50,37.20,40.60,69.70,13.40,29.60,52.60,28.80
"DIC 2011",51.70,76.10,40.10,46.80,37.70,39.40,69.20,10.50,31.50,52.00,28.00
"MAR 2012",51.70,77.40,38.60,46.30,48.30,32.10,66.90,19.50,27.30,52.00,21.60
"JUN 2012",49.70,76.30,33.80,44.50,40.30,35.50,66.80,16.60,29.50,50.00,23.90
"SEP 2012",51.40,76.60,38.20,46.40,40.90,40.50,68.00,17.30,28.00,51.60,25.60
"DIC 2012",51.00,76.30,37.90,45.80,38.10,41.30,68.30,14.60,31.00,51.30,24.40
"MAR 2013",51.30,76.30,33.90,46.20,40.30,33.00,68.50,31.20,31.90,51.50,22.00
"JUN 2013",51.10,75.50,31.30,47.20,38.30,39.60,68.80,30.40,32.20,51.30,25.80
"SEP 2013",51.70,74.80,33.40,48.50,39.40,43.10,69.60,29.10,27.80,51.90,28.30
"DIC 2013",51.20,74.70,30.50,48.10,41.00,41.70,69.30,26.10,30.50,51.40,29.10
"MAR 2014",47.70,74.60,32.50,42.00,35.70,43.90,67.20,5.10,23.60,47.80,18.80
"JUN 2014",48.10,74.20,32.70,43.10,34.90,48.80,66.70,7.30,25.40,48.20,26.30
"SEP 2014",48.50,72.90,33.80,44.40,37.10,51.20,66.50,10.30,24.50,48.70,27.50
