"CÓDIGO DE LA SERIE",DCBIREPCRAB.A,DCBIREPCRAE.A,DCBIREPCRAB_D091CR.A,DCBIREPCRAE_D091CR.A,DCBIREPCRAB_D092SR.A,DCBIREPCRAE_D092SR.A,DCBIREPCRAB_D0931.A,DCBIREPCRAE_D0931.A,DCBIREPCRAB_D0933.A,DCBIREPCRAE_D0933.A,DCBIREPCRAB_TS250.A,DCBIREPCRAE_TS250.A,DCBIREPCRAB_T50A250.A,DCBIREPCRAE_T50A250.A,DCBIREPCRAB_TI50.A,DCBIREPCRAE_TI50.A
"NÚMERO SECUENCIAL",2408501,2408502,2412271,2412272,2412273,2412274,2408503,2408504,2408505,2408506,2408507,2408508,2408509,2408510,2408511,2408512
"ALIAS DE LA SERIE","BE_15_25.1","BE_15_25.2","BE_15_25.3","BE_15_25.4","BE_15_25.5","BE_15_25.6","BE_15_25.7","BE_15_25.8","BE_15_25.9","BE_15_25.10","BE_15_25.11","BE_15_25.12","BE_15_25.13","BE_15_25.14","BE_15_25.15","BE_15_25.16"
"DESCRIPCIÓN DE LA SERIE","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Total. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Total. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Energía con refino CNAE-09. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Energía con refino CNAE-09. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Industria sin refino CNAE-09. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Industria sin refino CNAE-09. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Comercio y hostelería CNAE-09. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Comercio y hostelería CNAE-09. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Información y comunicaciones CNAE-09. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Información y comunicaciones CNAE-09. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas grandes. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas grandes. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas medianas. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas medianas. Año actual","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas pequeñas. Año anterior","CBI. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",32.70,32.70,30.00,30.70,29.40,28.40,31.40,31.80,40.90,42.60,32.60,32.80,35.90,35.70,30.80,29.80
"1998",32.60,34.40,30.60,34.10,28.00,27.80,33.00,31.40,42.80,40.60,32.40,34.80,37.30,37.40,30.30,29.50
"1999",34.70,39.00,34.30,40.10,27.70,28.00,30.80,30.50,42.70,53.90,35.10,40.30,37.50,38.40,30.90,30.60
"2000",39.60,41.70,41.20,44.60,29.60,31.10,32.20,33.00,51.90,51.80,40.80,43.30,39.00,39.50,32.20,31.60
"2001",42.60,43.40,45.20,46.10,32.90,33.20,35.00,34.40,64.80,65.20,44.40,45.50,39.80,39.00,32.80,31.80
"2002",43.80,44.60,42.00,41.40,34.30,35.40,34.70,33.00,65.30,69.20,46.00,47.40,39.10,38.70,32.90,32.30
"2003",44.60,43.20,41.90,39.50,35.00,34.50,34.70,32.70,69.40,64.40,47.40,45.90,40.20,38.50,33.40,33.50
"2004",43.60,42.70,40.20,39.10,34.40,34.30,34.20,31.90,67.20,60.50,46.10,45.10,40.10,39.20,34.50,34.40
"2005",42.60,42.00,39.50,40.80,35.70,36.70,34.40,33.00,62.00,54.20,45.10,45.10,36.70,35.40,34.40,36.50
"2006",42.50,43.60,40.60,41.10,37.20,37.20,33.70,33.10,54.50,55.50,45.30,47.60,36.00,35.40,36.90,35.30
