"CÓDIGO DE LA SERIE",DCBTREPCRAB.T,DCBTREPCRAE.T,DCBTREPCRAB_D091CR.T,DCBTREPCRAE_D091CR.T,DCBTREPCRAB_D092SR.T,DCBTREPCRAE_D092SR.T,DCBTREPCRAB_D0931.T,DCBTREPCRAE_D0931.T,DCBTREPCRAB_D0933.T,DCBTREPCRAE_D0933.T,DCBTREPCRAB_TS250.T,DCBTREPCRAE_TS250.T
"NÚMERO SECUENCIAL",1166187,1166188,2486864,2412330,2486865,2412332,1800899,1800903,1800900,1800904,1166197,1166198
"ALIAS DE LA SERIE","BE_15_26.1","BE_15_26.2","BE_15_26.3","BE_15_26.4","BE_15_26.5","BE_15_26.6","BE_15_26.7","BE_15_26.8","BE_15_26.9","BE_15_26.10","BE_15_26.11","BE_15_26.12"
"DESCRIPCIÓN DE LA SERIE","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Total. Año anterior","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Total. Año actual","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Energía con refino CNAE-09. Año anterior","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Energía con refino CNAE-09. Año actual","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Industria sin refino CNAE-09. Año anterior","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Industria sin refino CNAE-09. Año actual","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Comercio y hostelería CNAE-09. Año anterior","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Comercio y hostelería CNAE-09. Año actual","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Información y comunicaciones CNAE-09. Año anterior","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Información y comunicaciones CNAE-09. Año actual","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas grandes. Año anterior","CBT. E.1 Endeudamiento, RAC/AN (precios corrientes, saldo final). Empresas grandes. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",39.30,37.60,"_","_","_","_",19.90,20.70,46.70,45.00,39.70,38.00
"JUN 1994",39.50,37.60,"_","_","_","_",20.40,21.10,46.70,45.40,39.90,37.90
"SEP 1994",39.50,37.20,"_","_","_","_",20.30,21.00,46.50,45.30,39.90,37.60
"DIC 1994",39.40,37.00,"_","_","_","_",20.40,21.00,46.40,45.20,39.80,37.30
"MAR 1995",37.40,35.10,"_","_","_","_",21.80,21.90,44.90,43.60,37.80,35.50
"JUN 1995",37.40,34.90,"_","_","_","_",22.00,22.10,45.30,43.60,37.80,35.30
"SEP 1995",36.80,34.50,"_","_","_","_",21.90,22.20,45.20,43.30,37.20,34.80
"DIC 1995",36.60,34.30,"_","_","_","_",21.90,22.10,45.10,43.30,37.00,34.70
"MAR 1996",34.50,32.60,"_","_","_","_",21.30,22.70,44.10,44.10,34.90,33.00
"JUN 1996",34.30,32.20,"_","_","_","_",21.80,23.00,44.10,43.80,34.60,32.60
"SEP 1996",34.10,31.60,"_","_","_","_",22.10,23.10,43.80,43.30,34.50,32.00
"DIC 1996",34.20,31.40,"_","_","_","_",22.20,23.20,43.60,43.10,34.50,31.80
"MAR 1997","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1997","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1997","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1997",30.80,30.20,28.30,28.30,23.70,21.70,24.70,24.80,42.30,41.00,30.90,30.30
"MAR 1998","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1998","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1998","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1998",30.30,32.90,28.20,30.60,24.20,23.40,25.00,23.50,41.00,39.80,30.40,33.10
"MAR 1999","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1999","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1999","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1999",33.40,40.60,30.80,38.50,26.20,28.60,24.90,23.40,42.00,54.20,33.60,41.00
"MAR 2000","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2000","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2000","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2000",40.70,44.40,38.50,44.00,28.10,28.90,24.20,26.00,53.70,46.40,41.30,45.60
"MAR 2001","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2001","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2001","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2001",44.40,46.30,42.90,45.40,30.60,29.80,24.60,27.30,68.30,68.80,44.90,46.60
"MAR 2002","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2002","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2002","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2002",47.40,49.30,40.50,42.10,30.80,32.50,27.60,26.50,68.30,81.00,47.80,49.80
"MAR 2003","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2003","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2003","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2003",49.30,46.90,42.30,40.50,32.00,33.90,28.90,24.80,81.40,68.50,49.80,47.50
"MAR 2004","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2004","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2004","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2004",46.90,46.20,40.50,39.70,35.50,33.10,25.70,25.10,71.60,61.40,47.40,46.70
"MAR 2005","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2005","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2005","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2005",46.80,46.80,39.10,41.20,34.80,40.00,26.30,25.20,65.10,59.30,47.30,47.30
"MAR 2006","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2006","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2006","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2006",47.00,49.20,42.40,41.90,41.70,42.90,24.40,24.60,55.20,52.30,47.50,49.70
"MAR 2007","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2007","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2007","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2007",49.30,49.80,41.50,40.20,42.60,48.30,24.10,26.30,53.00,46.80,49.60,50.00
"MAR 2008","_","_","_","_","_","_","_","_","_","_","_","_"
