"CÓDIGO DE LA SERIE",DCBIRENERAB.A,DCBIRENERAE.A,DCBIRENERAB_D091CR.A,DCBIRENERAE_D091CR.A,DCBIRENERAB_D092SR.A,DCBIRENERAE_D092SR.A,DCBIRENERAB_D0931.A,DCBIRENERAE_D0931.A,DCBIRENERAB_D0933.A,DCBIRENERAE_D0933.A,DCBIRENERAB_TS250.A,DCBIRENERAE_TS250.A,DCBIRENERAB_T50A250.A,DCBIRENERAE_T50A250.A,DCBIRENERAB_TI50.A,DCBIRENERAE_TI50.A
"NÚMERO SECUENCIAL",2408513,2408514,2412275,2412276,2412277,2412278,2408515,2408516,2408517,2408518,2408519,2408520,2408521,2408522,2408523,2408524
"ALIAS DE LA SERIE","BE_15_27.1","BE_15_27.2","BE_15_27.3","BE_15_27.4","BE_15_27.5","BE_15_27.6","BE_15_27.7","BE_15_27.8","BE_15_27.9","BE_15_27.10","BE_15_27.11","BE_15_27.12","BE_15_27.13","BE_15_27.14","BE_15_27.15","BE_15_27.16"
"DESCRIPCIÓN DE LA SERIE","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Total. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Total. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Energía con refino CNAE-09. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Energía con refino CNAE-09. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Industria sin refino CNAE-09. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Industria sin refino CNAE-09. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Comercio y hostelería CNAE-09. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Comercio y hostelería CNAE-09. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Información y comunicaciones. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Información y comunicaciones. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas grandes. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas grandes. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas medianas. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas medianas. Año actual","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas pequeñas. Año anterior","CBI. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",246.50,236.90,229.00,261.60,179.90,155.30,223.50,217.60,177.80,176.00,240.70,231.20,221.00,214.50,306.00,290.60
"1998",235.90,250.10,269.30,294.10,151.70,151.70,230.10,206.80,174.00,163.10,228.70,248.90,221.40,227.20,291.70,272.70
"1999",253.70,329.70,297.50,390.40,152.60,170.00,207.30,203.10,175.20,357.00,249.00,351.60,229.40,240.00,291.10,288.50
"2000",336.70,398.90,392.20,510.10,175.60,181.80,219.10,242.30,202.10,276.00,357.20,436.60,240.90,268.90,302.40,306.00
"2001",401.90,426.30,461.90,533.80,191.10,225.50,262.10,258.90,317.80,288.50,441.50,472.70,258.00,264.80,318.80,317.40
"2002",431.20,445.70,395.90,380.00,235.90,272.60,261.20,251.80,294.90,273.00,483.50,497.60,252.40,265.20,333.50,348.90
"2003",445.60,424.70,391.50,385.30,264.50,256.70,268.30,265.00,278.20,227.70,498.20,460.70,273.00,268.60,364.30,385.60
"2004",429.10,413.90,396.00,416.30,252.00,240.60,273.30,267.90,220.50,180.30,460.20,431.80,279.40,285.60,401.50,413.80
"2005",355.10,373.40,371.90,380.80,239.40,259.20,275.80,285.20,169.40,151.40,341.80,360.60,275.90,283.80,430.90,456.10
"2006",377.30,416.30,372.70,370.40,260.20,269.70,291.70,293.90,168.80,163.90,363.30,421.20,286.20,292.50,459.30,454.30
