"CÓDIGO DE LA SERIE",DCBTRENERAB.T,DCBTRENERAE.T,DCBTRENERAB_D091CR.T,DCBTRENERAE_D091CR.T,DCBTRENERAB_D092SR.T,DCBTRENERAE_D092SR.T,DCBTRENERAB_D0931.T,DCBTRENERAE_D0931.T,DCBTRENERAB_D0933.T,DCBTRENERAE_D0933.T,DCBTRENERAB_TS250.T,DCBTRENERAE_TS250.T
"NÚMERO SECUENCIAL",1957373,1957374,2486866,2412334,2486867,2412336,2278015,2278016,2278017,2278018,2278019,2278020
"ALIAS DE LA SERIE","BE_15_28.1","BE_15_28.2","BE_15_28.3","BE_15_28.4","BE_15_28.5","BE_15_28.6","BE_15_28.7","BE_15_28.8","BE_15_28.9","BE_15_28.10","BE_15_28.11","BE_15_28.12"
"DESCRIPCIÓN DE LA SERIE","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Total. Año anterior","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Total. Año actual","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Energía con refino CNAE-09. Año anterior","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Energía con refino CNAE-09. Año actual","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Industria sin refino CNAE-09. Año anterior","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Industria sin refino CNAE-09. Año actual","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Comercio y hostelería CNAE-09. Año anterior","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Comercio y hostelería CNAE-09. Año actual","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Información y comunicaciones. Año anterior","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Información y comunicaciones. Año actual","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas grandes. Año anterior","CBT. E.2 Endeudamiento, RAC/(REB+ingresos financieros). Empresas grandes. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1994","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1994","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1994",315.10,264.40,"_","_","_","_",153.60,148.10,226.10,203.20,317.50,266.60
"MAR 1995","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1995","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1995","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1995",291.60,254.00,"_","_","_","_",143.60,145.40,206.80,181.30,294.80,257.80
"MAR 1996","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1996","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1996","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1996",256.10,229.20,"_","_","_","_",151.50,185.70,187.60,173.50,260.40,232.90
"MAR 1997","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1997","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1997","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1997",227.50,212.90,218.00,237.80,153.80,115.40,182.10,168.90,175.40,160.10,229.20,213.70
"MAR 1998","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1998","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1998","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1998",211.60,232.40,234.50,262.50,128.80,122.50,164.00,135.40,160.10,156.70,212.80,234.40
"MAR 1999","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1999","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1999","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1999",239.50,358.10,264.40,378.50,139.10,173.20,151.20,137.50,172.10,346.70,241.50,366.50
"MAR 2000","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2000","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2000","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2000",369.10,460.90,378.90,526.30,167.50,142.60,141.40,164.20,161.00,184.90,376.40,470.80
"MAR 2001","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2001","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2001","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2001",475.50,511.10,484.80,602.20,155.80,192.00,156.80,170.80,268.20,248.90,486.30,522.40
"MAR 2002","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2002","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2002","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2002",514.10,528.30,374.10,379.10,200.40,249.50,176.70,162.10,234.10,220.50,526.00,541.70
"MAR 2003","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2003","_","_","_","_","_","_","_","_","_","_","_","_"
