"CÓDIGO DE LA SERIE",DCBIRCFIRAB.A,DCBIRCFIRAE.A,DCBIRCFIRAB_D091CR.A,DCBIRCFIRAE_D091CR.A,DCBIRCFIRAB_D092SR.A,DCBIRCFIRAE_D092SR.A,DCBIRCFIRAB_D0931.A,DCBIRCFIRAE_D0931.A,DCBIRCFIRAB_D0933.A,DCBIRCFIRAE_D0933.A,DCBIRCFIRAB_TS250.A,DCBIRCFIRAE_TS250.A,DCBIRCFIRAB_T50A250.A,DCBIRCFIRAE_T50A250.A,DCBIRCFIRAB_TI50.A,DCBIRCFIRAE_TI50.A
"NÚMERO SECUENCIAL",2408525,2408526,2412279,2412280,2412281,2412282,2408527,2408528,2408529,2408530,2408531,2408532,2408533,2408534,2408535,2408536
"ALIAS DE LA SERIE","BE_15_29.1","BE_15_29.2","BE_15_29.3","BE_15_29.4","BE_15_29.5","BE_15_29.6","BE_15_29.7","BE_15_29.8","BE_15_29.9","BE_15_29.10","BE_15_29.11","BE_15_29.12","BE_15_29.13","BE_15_29.14","BE_15_29.15","BE_15_29.16"
"DESCRIPCIÓN DE LA SERIE","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Total. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Total. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Energía con refino CNAE-09. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Energía con refino CNAE-09. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Industria sin refino CNAE-09. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Industria sin refino CNAE-09. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Comercio y hostelería. CNAE-09. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Comercio y hostelería. CNAE-09. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Información y comunicaciones. CNAE-09. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Información y comunicaciones. CNAE-09. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Empresas grandes. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Empresas grandes. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Empresa medianas. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Empresa medianas. Año actual","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Empresas pequeñas. Año anterior","CBI. Carga financiera por intereses. Por financ. recibida/(REB+Ing. financ.). Empresas pequeñas. Año actual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"1997",21.50,16.50,18.60,15.20,16.60,11.90,21.50,16.70,16.60,13.70,19.90,15.30,21.30,16.10,31.80,25.10
"1998",16.40,14.00,15.60,14.10,11.70,9.50,17.40,13.10,13.60,11.00,15.00,13.00,16.40,13.50,25.10,19.90
"1999",14.00,12.60,14.30,13.30,9.70,8.20,13.50,11.00,10.60,9.70,12.80,11.80,13.80,11.20,20.00,16.80
"2000",12.90,15.40,13.40,15.00,8.70,10.10,11.10,13.20,10.40,12.20,12.10,14.90,11.10,13.50,17.00,18.10
"2001",15.60,17.20,15.00,18.80,10.50,13.10,13.90,14.80,12.80,13.90,15.10,16.80,13.40,14.80,18.30,19.80
